Account Name,City,County,State,Status,Budget Cycle,Engagement Date,Proposal Sent,ZIP,Agency Count,Budget Cycle,CPE Contract end date,Organization Type,Population,Category Type,Sworn Officers,Total Employees, Dispatch Seats ,Jail Beds,CAD Vendor,Dispatched By,CAD vendor since,RMS Vendor,RMS vendor since,CPE Vendor,CPE Last Upgraded,CPE Contract End,Jail Vendor,Jail vendor since,ANL Vendor ID
Calloway County Sheriff's Department,Murray,Calloway,KY,,,,,42071,1,July 1- June 30,,"County, Sheriff or Police",38343,Law,19,24,  2.00 ,0,Caliber Public Safety / InterAct*,,1/1/2005,KY OPS,1/1/2012,Motorola Solutions / Vesta*,,,Sam Houston / Crimes*,,Does not use*
Floyd County Sheriff's Department,Prestonsburg,Floyd,KY,,,,,41653-0152,1,July 1- June 30,,"County, Sheriff or Police",37756,Law,20,30,  1.00 ,0,Does not use*,,,In House Custom System*,8/1/2014,,,,Sam Houston / Crimes*,,In House Custom System*
Hopkinsville Police Department,Hopkinsville,Christian,KY,,,,,42240-6606,1,July 1- June 30,,"Police, Municipal",31811,Law,82,114,  6.00 ,0,"CIS - Computer Information Systems, Inc.",,1/1/2008,"CIS - Computer Information Systems, Inc.",1/1/2008,,,,,,"CIS - Computer Information Systems, Inc."
University of Kentucky,Lexington,Fayette,KY,,,,,40506-3015,1,July 1- June 30,,"Police, University & College",30473,Law,50,100,  4.00 ,0,SOMA Global,,1/1/2019,SOMA Global,1/1/2019,Motorola Solutions / Vesta*,,,,,
Nicholasville Police Department,Nicholasville,Jessamine,KY,,,,,40356-1134,1,July 1- June 30,,"Police, Municipal",30006,Law,67,76,  4.00 ,0,Does Not Dispatch*,Jessamine County Sheriff's Department,,Does not use*,,Does Not Dispatch*,,,,,Does not use*
Jeffersontown Police Department,Jeffersontown,Jefferson,KY,,,,,40299-3757,1,July 1- June 30,,"Police, Municipal",27352,Law,60,70,  2.00 ,0,Hexagon / Intergraph*,,,KY OPS,,Motorola Solutions / Vesta*,,,,,
Logan County Emergency Operations Center,Russellville,Logan,KY,,,,,42276-1334,1,July 1- June 30,,Dispatch Center (Stand Alone),27060,Dispatch,0,10,  4.00 ,0,Caliber Public Safety / InterAct*,,1/1/1999,,,Other,12/1/2017,12/1/2022,,,
Ohio County Sheriff's Department,Hartford,Ohio,KY,,,,,42347-1128,1,July 1- June 30,,"County, Sheriff or Police",24216,Law,12,21,  4.00 ,0,KY OPS,,1/1/2007,KY OPS,1/1/2007,,,,KY OPS,1/1/2007,
University of Louisville,Louisville,Jefferson,KY,,,,,40208-2768,1,July 1- June 30,,"Police, University & College",22640,Law,46,77,  3.00 ,0,Hexagon / Intergraph*,,1/1/2012,KY OPS,1/1/2008,,,,,,KY OPS
Radcliff Police Department,Radcliff,Hardin,KY,,,,,40160-2149,1,July 1- June 30,,"Police, Municipal",22490,Law,40,50,  3.00 ,0,Tyler Technologies / New World (Aegis)*,,1/1/2005,Tyler Technologies / New World (Aegis)*,1/1/2005,Solacom*,7/1/2016,,,,Tyler Technologies / New World (Aegis)*
Anderson County 911 Center,Lawrenceburg,Anderson,KY,,,,,40342-1105,1,July 1- June 30,,Dispatch Center (Stand Alone),21732,Dispatch,0,8,  2.00 ,0,Caliber Public Safety / InterAct*,,1/1/2016,,,Motorola Solutions / Vesta*,6/1/2016,,,,
Western Kentucky University,Bowling Green,Warren,KY,,,,,42101,1,July 1- June 30,,"Police, University & College",20171,Law,27,35,  2.00 ,0,EnRoute Emergency / GEAC,,1/1/2012,KY OPS,1/1/2018,,,,,,Other
Paris Bourbon County 911,Paris,Bourbon,KY,,,,,40361,1,July 1- June 30,,Dispatch Center (Stand Alone),20000,Dispatch,0,8,  3.00 ,0,Spillman Technologies,,1/1/1993,Sam Houston / Crimes*,,,,,Sam Houston / Crimes*,,
Breckinridge County 911 Center,Hardinsburg,Breckinridge,KY,,,,,40143-2655,1,July 1- June 30,,Dispatch Center (Stand Alone),20000,Dispatch,0,6,  2.00 ,0,"CIS - Computer Information Systems, Inc.",,1/1/2002,,,Motorola Solutions / Vesta,1/1/2015,,,,
Murray Police Department,Murray,Calloway,KY,,,,,42071-2539,1,July 1- June 30,,"Police, Municipal",19006,Law,40,46,  2.00 ,0,Caliber Public Safety / InterAct*,,1/1/2008,KY OPS,1/1/1992,Motorola Solutions / Vesta*,,,,,KY OPS
Winchester Police Department,Winchester,Clark,KY,,,,,40391,1,July 1- June 30,,"Police, Municipal",18368,Law,32,50,  6.00 ,0,"CIS - Computer Information Systems, Inc.",,1/1/2001,"CIS - Computer Information Systems, Inc.",1/1/1999,Cassidian Communications / PlantCML*,,,,,"CIS - Computer Information Systems, Inc."
Danville Police Department,Danville,Boyle,KY,,,,,40422-0670,1,July 1- June 30,,"Police, Municipal",16802,Law,33,35,,0,Does not use*,Boyle County 911 Center,,KY OPS,,Does not use*,,,,,Does not use*
Shively Police Department,Shively,Jefferson,KY,,,,,40216-4212,1,July 1- June 30,,"Police, Municipal",15751,Law,34,40,  2.00 ,0,Hexagon / Intergraph*,,1/1/2009,KY OPS,1/1/2004,Motorola Solutions / Vesta*,,,,,
Glasgow Police Department,Glasgow,Barren,KY,,,,,42141-2657,1,July 1- June 30,,"Police, Municipal",15000,Law,37,55,  5.00 ,0,GeoConnect,,,KY OPS,,Solacom*,,,,,KY OPS
St Matthews Police Department,St Matthews,Jefferson,KY,,,,,40207-3837,1,July 1- June 30,,"Police, Municipal",15000,Law,40,55,  2.00 ,0,Hexagon / Intergraph,,1/1/2008,KY OPS,1/1/2008,,,,,,
Estill County 911 Center,Irvine,Estill,KY,,,,,40336-1055,1,July 1- June 30,,Dispatch Center (Stand Alone),14375,Dispatch,0,6,  3.00 ,0,GeoConnect,,4/1/2018,,,Other,1/1/2010,,,,
Eastern Kentucky University,Richmond,Madison,KY,,,,,40475,1,July 1- June 30,,"Police, University & College",14000,Law,25,48,  6.00 ,0,End2End / ARMS*,,10/1/2012,End2End / ARMS*,10/1/2012,,,,,,
Todd County 911 Center,Elkton,Todd,KY,,,,,42220-8203,1,July 1- June 30,,Dispatch Center (Stand Alone),12531,Dispatch,0,11,  2.00 ,0,"CIS - Computer Information Systems, Inc.",,4/1/2014,,,Motorola Solutions / Vesta,,,,,
Maysville Police Department,Maysville,Mason,KY,,,,,41056-1205,1,July 1- June 30,,"Police, Municipal",12500,Law,24,30,  3.00 ,0,GeoConnect,,1/1/2018,KY OPS,1/1/2002,Motorola Solutions / Vesta*,1/1/2017,1/1/2022,Sam Houston / Crimes*,,
Martin County 911 Center,Inez,Martin,KY,,,,,41224-0309,1,July 1- June 30,,Dispatch Center (Stand Alone),12500,Dispatch,20,10,  2.00 ,0,Southern Software,,,,,Motorola Solutions / Vesta*,1/1/2017,,,,
Campbellsville Police Department,Campbellsville,Taylor,KY,,,,,42718-2248,1,July 1- June 30,,"Police, Municipal",11387,Law,22,39,  4.00 ,0,Caliber Public Safety / InterAct*,,,KY OPS,1/1/1991,,,,,,KY OPS
Middlesboro Police Department,Middlesboro,Bell,KY,,,,,40965-0601,1,July 1- June 30,,"Police, Municipal",9626,Law,21,30,  2.00 ,0,GeoConnect,,9/1/2018,KY OPS,1/1/2002,Motorola Solutions / Vesta*,,,,,
Morehead Police Department,Morehead,Rowan,KY,,,,,40351-1617,1,July 1- June 30,,"Police, Municipal",9000,Law,22,35,  3.00 ,0,GeoConnect,,9/1/2011,Sam Houston / Crimes*,,,,,Sam Houston / Crimes*,,
Harrodsburg Police Department,Harrodsburg,Mercer,KY,,,,,40330-1241,1,July 1- June 30,,"Police, Municipal",8419,Law,23,26,  3.00 ,0,Does not use*,,,In House Custom System*,1/1/2000,Does not use*,,,,,Other
Corbin Police Department,Corbin,Whitley,KY,,,,,40701-0134,1,July 1- June 30,,"Police, Municipal",8000,Law,21,29,  3.00 ,0,Caliber Public Safety / InterAct*,,1/1/2003,KY OPS,,Motorola Solutions / Vesta*,,,,,
Hazard Police Department,Hazard,Perry,KY,,,,,41701-0420,1,July 1- June 30,,"Police, Municipal",8000,Law,31,45,  1.00 ,0,In House Custom System*,,1/1/2009,Sam Houston / Crimes*,,,,,Sam Houston / Crimes*,,
Cynthiana Police Department,Cynthiana,Harrison,KY,,,,,41031-0431,1,July 1- June 30,,"Police, Municipal",7500,Law,13,15,  3.00 ,0,GeoConnect,,1/1/2017,"Microsoft (Office, Access, Excel, Word, etc.)*",,Motorola Solutions / Vesta,6/7/2019,,Does not use*,,Does not use*
Oak Grove Police Department,Oak Grove,Christian,KY,,,,,42262-0208,1,July 1- June 30,,"Police, Municipal",7370,Law,18,28,  1.00 ,0,Does not use*,Christian County Police Department,,In House Custom System*,,Does not use*,,,,,Does not use*
Versailles Police Department,Versailles,Woodford,KY,,,,,40383-1281,1,July 1- June 30,,"Police, Municipal",7200,Law,45,60,  3.00 ,0,"CIS - Computer Information Systems, Inc.",,1/1/1998,"CIS - Computer Information Systems, Inc.",1/1/1998,Intrado / West*,,,,,"CIS - Computer Information Systems, Inc."
Pikeville Police Department,Pikeville,Pike,KY,,,,,41501-1106,1,July 1- June 30,,"Police, Municipal",7106,Law,23,32,  3.00 ,0,"CIS - Computer Information Systems, Inc.",,10/1/2017,KY OPS,,MODUCOM - Modular Communication Systems,,,,,KY OPS
Lawrenceburg Police Department,Lawrenceburg,Anderson,KY,,,,,40342-1105,1,July 1- June 30,,"Police, Municipal",7000,Law,15,25,  2.00 ,0,Does not use*,Anderson County 911 Center,,KY OPS,,Does not use*,,,Sam Houston / Crimes*,,KY OPS
Lebanon Police Department,Lebanon,Marion,KY,,,,,40033-0840,1,July 1- June 30,,"Police, Municipal",5638,Law,17,26,  2.00 ,0,"CIS - Computer Information Systems, Inc.",,1/1/2003,KY OPS,1/1/1999,Other,,,,,"CIS - Computer Information Systems, Inc."
Carrollton Police Department,Carrollton,Carroll,KY,,,,,41008-1259,1,July 1- June 30,,"Police, Municipal",5020,Law,15,23,  2.00 ,0,"CIS - Computer Information Systems, Inc.",,1/1/2001,KY OPS,,,,,,,
Scottsville Police Department,Scottsville,Allen,KY,,,,,42164-1261,1,July 1- June 30,,"Police, Municipal",4300,Law,14,19,  2.00 ,0,GeoConnect,,1/1/2014,Does not use*,,,,,Does not use*,,Does not use*
Barbourville Police Department,Barbourville,Knox,KY,,,,,40906-5300,1,July 1- June 30,,"Police, Municipal",3600,Law,14,18,  3.00 ,0,Does not use*,Knox County 911 Center,1/1/2004,KY OPS,1/1/2004,Does not use*,,,Sam Houston / Crimes*,,KY OPS
Simpsonville Police Department,Simpsonville,Shelby,KY,,,,,40067-0378,1,July 1- June 30,,"Police, Municipal",2751,Law,40,49,  2.00 ,0,Law Track,,,Law Track,1/1/2004,,,,,,Law Track
Manchester Police Department,Manchester,Clay,KY,,,,,40962,1,July 1- June 30,,"Police, Municipal",2400,Law,9,9,  3.00 ,0,,,1/1/2004,,1/1/2004,,,,Sam Houston / Crimes*,,
Cincinnatti/North KY International Airport,Hebron,Boone,KY,,,,,45275-2000,1,July 1- June 30,,"Police, Airport",999,Law,50,70,  4.00 ,0,CentralSquare / TriTech / Zuercher / EmergiTech*,,1/1/1999,CentralSquare / TriTech / Zuercher / EmergiTech*,1/1/1999,,,,,,
Barren County 911 Center,Glasgow,Barren,KY,,,,,42141-2628,1,July 1- June 30,,Dispatch Center (Stand Alone),0,Dispatch,0,22,  8.00 ,0,GeoConnect,,7/30/2018,,,Solacom,,,,,
East KY Regional 911 Center,Hazard,Perry,KY,,,,,41701-5518,1,July 1- June 30,,Dispatch Center (Stand Alone),0,Dispatch,0,15,  6.00 ,0,Caliber Public Safety / InterAct*,,1/4/2004,,,Solacom,,,,,
Taylor County 911 Center,Campbellsville,Taylor,KY,,,,,42718-2251,1,July 1- June 30,,Dispatch Center (Stand Alone),0,Dispatch,0,12,  6.00 ,0,Caliber Public Safety / InterAct*,,1/1/2008,,,Guardian,1/1/2017,,,,
Lincoln County 911 Center,Stanford,Lincoln,KY,,,,,40484-1215,1,July 1- June 30,,Dispatch Center (Stand Alone),0,Dispatch,0,16,  6.00 ,0,Caliber Public Safety*,,1/1/2016,,,Solacom,,,,,
Christian County 911 Center,Hopkinsville,Christian,KY,,,,,42240-2302,1,July 1- June 30,,Dispatch Center (Stand Alone),0,Dispatch,0,22,  6.00 ,0,"CIS - Computer Information Systems, Inc.",,1/1/2007,,,Motorola Solutions / Vesta*,,,,,
Clark County 911 Center,Winchester,Clark,KY,,,,,40391-0040,1,July 1- June 30,,Dispatch Center (Stand Alone),0,Dispatch,0,13,  6.00 ,0,"CIS - Computer Information Systems, Inc.",,1/1/2003,,,Motorola Solutions / Vesta*,,,,,
Boyle County 911 Center,Danville,Boyle,KY,,,,,40422-1816,1,July 1- June 30,,Dispatch Center (Stand Alone),0,Dispatch,0,13,  6.00 ,0,GeoConnect,,6/1/2018,,,Solacom,1/1/1997,1/1/2018,,,
Scott County Central Dispatch,Georgetown,Scott,KY,,,,,40324-1998,1,July 1- June 30,,Dispatch Center (Stand Alone),0,Dispatch,0,18,  6.00 ,0,Tyler Technologies / New World (Aegis)*,,1/1/2007,,,Zetron*,,,,,
Henderson County 911 Center,Henderson,Henderson,KY,,,,,42420-4951,1,July 1- June 30,,Dispatch Center (Stand Alone),0,Dispatch,0,15,  5.00 ,0,APSS - Alert Public Safety Solutions,,1/1/2017,,,Motorola Solutions / CallWorks*,,,,,
Harlan County 911 Center,Harlan,Harlan,KY,,,,,40831,1,July 1- June 30,,Dispatch Center (Stand Alone),0,Dispatch,0,11,  5.00 ,0,Caliber Public Safety / InterAct*,,1/1/2003,,,Solacom*,,12/31/2019,,,
Boyd County 911 Center,Ashland,Boyd,KY,,,,,41101-7743,1,July 1- June 30,,Dispatch Center (Stand Alone),0,Dispatch,0,18,  5.00 ,0,"CIS - Computer Information Systems, Inc.",,4/26/2018,,,Solacom,,,,,
Campbell County 911 Center,Newport,Campbell,KY,,,,,41071-2115,1,July 1- June 30,,Dispatch Center (Stand Alone),0,Dispatch,0,20,  5.00 ,0,"CIS - Computer Information Systems, Inc.",,1/1/2001,,,Solacom,,,,,
Franklin County 911 Center,Frankfort,Franklin,KY,,,,,40601-2645,1,July 1- June 30,,Dispatch Center (Stand Alone),0,Dispatch,0,25,  5.00 ,0,GeoConnect,,1/16/2017,,,Zetron*,12/1/2016,,,,
Bullitt County 911 Center,Shepherdsville,Bullitt,KY,,,,,40165-0397,1,July 1- June 30,,Dispatch Center (Stand Alone),0,Dispatch,0,16,  4.00 ,0,Caliber Public Safety / InterAct*,,6/6/2005,,,Motorola Solutions / Vesta*,,,,,
Ohio County 911,Hartford,Ohio,KY,,,,,42347,1,July 1- June 30,,Dispatch Center (Stand Alone),0,Dispatch,0,10,  4.00 ,0,Caliber Public Safety / InterAct*,,1/1/2013,,,Motorola Solutions / Vesta*,,,,,
"Oldham County 911, KY",La Grange,Oldham,KY,,,,,40031-8731,1,July 1- June 30,,Dispatch Center (Stand Alone),0,Dispatch,0,12,  4.00 ,0,CentralSquare / TriTech / Zuercher / EmergiTech*,,1/1/2011,,,Motorola Solutions / Vesta*,,,,,
Greenup County 911 Center,Flatwoods,Greenup,KY,,,,,41139-2505,1,July 1- June 30,,Dispatch Center (Stand Alone),0,Dispatch,0,19,  4.00 ,0,"CIS - Computer Information Systems, Inc.",,9/26/2015,,,Solacom*,,,,,
London Laurel County Dispa,London,Laurel,KY,,,,,40741-1942,1,July 1- June 30,,Dispatch Center (Stand Alone),0,Dispatch,0,18,  4.00 ,0,"CIS - Computer Information Systems, Inc.",,2/1/2018,,,Solacom*,1/1/2015,,,,
Muhlenberg Central Dispatch,Central City,Muhlenberg,KY,,,,,42330-5525,1,July 1- June 30,,Dispatch Center (Stand Alone),0,Dispatch,0,19,  4.00 ,0,GeoConnect,,1/1/2017,,,Motorola Solutions / Vesta*,,,,,
Pulaski County 911 Center,Somerset,Pulaski,KY,,,,,42503-1731,1,July 1- June 30,,Dispatch Center (Stand Alone),0,Dispatch,0,26,  4.00 ,0,GeoConnect,,1/1/2016,,,Motorola Solutions / Vesta*,,,,,
Clay County 911 Center,Manchester,Clay,KY,,,,,40962-1264,1,July 1- June 30,,Dispatch Center (Stand Alone),0,Dispatch,0,10,  3.00 ,0,Caliber Public Safety / InterAct*,,1/1/2006,,,Zetron*,7/12/2019,,,,
Knox County 911 Center,Barbourville,Knox,KY,,,,,40906-5300,1,July 1- June 30,,Dispatch Center (Stand Alone),0,Dispatch,0,5,  3.00 ,0,Caliber Public Safety / InterAct*,,1/1/2019,,,Solacom*,,,,,
Marshall County E911,Benton,Marshall,KY,,,,,42025-1115,1,July 1- June 30,,Dispatch Center (Stand Alone),0,Dispatch,0,16,  3.00 ,0,Caliber Public Safety / InterAct*,,3/1/2017,,,Motorola Solutions / Vesta*,,,,,
Pendleton County Dispatch,Falmouth,Pendleton,KY,,,,,41040-7037,1,July 1- June 30,,Dispatch Center (Stand Alone),0,Dispatch,0,7,  3.00 ,0,Caliber Public Safety / InterAct*,,1/1/2015,,,Indigital,,,,,
Rockcastle County 911 Center,Mt Vernon,Rockcastle,KY,,,,,40456-0700,1,July 1- June 30,,Dispatch Center (Stand Alone),0,Dispatch,0,9,  3.00 ,0,Caliber Public Safety / InterAct*,,1/1/2006,,,Solacom*,,,,,
Perry County 911 Center,Hazard,Perry,KY,,,,,41701-1776,1,July 1- June 30,,Dispatch Center (Stand Alone),0,Dispatch,0,18,  3.00 ,0,CentralSquare / TriTech / Tiburon*,,6/1/2014,,,AT&T / Interact,,,,,
Montgomery County 911 Center,Mt Sterling,Montgomery,KY,,,,,40353-1430,1,July 1- June 30,,Dispatch Center (Stand Alone),0,Dispatch,0,11,  3.00 ,0,"CIS - Computer Information Systems, Inc.",,1/1/2006,,,Intrado / West*,1/1/2005,,,,
Powell County 911 Center,Stanton,Powell,KY,,,,,40380-2514,1,July 1- June 30,,Dispatch Center (Stand Alone),0,Dispatch,0,12,  3.00 ,0,"CIS - Computer Information Systems, Inc.",,2/1/2015,,,Motorola Solutions / Vesta*,,,,,
Gallatin County 911 Center,Warsaw,Gallatin,KY,,,,,41095,1,July 1- June 30,,Dispatch Center (Stand Alone),0,Dispatch,0,9,  3.00 ,0,Cushing Systems Inc.,,1/1/2005,,,Indigital,,,,,
Clinton County 911 Center,Albany,Clinton,KY,,,,,42602,1,July 1- June 30,,Dispatch Center (Stand Alone),0,Dispatch,0,10,  3.00 ,0,GeoConnect,,9/1/2015,,,Motorola Solutions / Vesta,,,,,
Harrison County 911 Center,Cynthiana,Harrison,KY,,,,,41031-1597,1,July 1- June 30,,Dispatch Center (Stand Alone),0,Dispatch,0,9,  3.00 ,0,GeoConnect,,9/1/2016,,,Motorola Solutions / Vesta*,,,,,
Whitley County Dispatch,Williamsburg,Whitley,KY,,,,,40769,1,July 1- June 30,,Dispatch Center (Stand Alone),0,Dispatch,0,16,  3.00 ,0,GeoConnect,,8/18/2016,,,Motorola Solutions / Vesta*,,,,,
Grayson County 911 Center,Leitchfield,Grayson,KY,,,,,42754-9135,1,July 1- June 30,,Dispatch Center (Stand Alone),0,Dispatch,0,11,  3.00 ,0,Tyler Technologies / New World (Aegis)*,,1/1/2006,,,Solacom*,5/10/2019,,,,
Fleming County 911 Center,Flemingsburg,Fleming,KY,,,,,41041-1006,1,July 1- June 30,,Dispatch Center (Stand Alone),0,Dispatch,0,9,  3.00 ,0,Will Not Disclose,,,,,,,,,,
Elliott County 911 Center,Sandy Hook,Elliott,KY,,,,,41171-0361,1,July 1- June 30,,Dispatch Center (Stand Alone),0,Dispatch,0,7,  2.00 ,0,Caliber Public Safety / InterAct*,,1/1/2008,,,,,,,,
Fulton County 911 Center,Hickman,Fulton,KY,,,,,42050-1401,1,July 1- June 30,,Dispatch Center (Stand Alone),0,Dispatch,0,9,  2.00 ,0,Caliber Public Safety / InterAct*,,1/1/2007,,,Solacom*,1/1/2018,,,,
Lawrence County 911 Center,Louisa,Lawrence,KY,,,,,41230-0566,1,July 1- June 30,,Dispatch Center (Stand Alone),0,Dispatch,0,6,  2.00 ,0,Caliber Public Safety / InterAct*,,1/1/2003,,,Zetron*,,,,,
Lee County 911 Center,Beattyville,Lee,KY,,,,,41311-0307,1,July 1- June 30,,Dispatch Center (Stand Alone),0,Dispatch,0,8,  2.00 ,0,CentralSquare / TriTech / Tiburon*,,4/1/2015,,,Intrado / West*,7/1/2018,,,,
Wolfe County Dispatch,Campton,Wolfe,KY,,,,,41301-0429,1,July 1- June 30,,Dispatch Center (Stand Alone),0,Dispatch,0,6,  2.00 ,0,CentralSquare / TriTech / Tiburon*,,1/1/2016,,,Intrado / West*,9/1/2018,,,,
Caldwell County 911 Center,Princeton,Caldwell,KY,,,,,42445-6298,1,July 1- June 30,,Dispatch Center (Stand Alone),0,Dispatch,0,8,  2.00 ,0,CentralSquare / TriTech / Zuercher / EmergiTech*,,1/1/2005,,,CentralSquare / TriTech / Zuercher / EmergiTech*,,,,,
McLean County Central Dispatch,Calhoun,McLean,KY,,,,,42327-2104,1,July 1- June 30,,Dispatch Center (Stand Alone),0,Dispatch,0,5,  2.00 ,0,CentralSquare / TriTech / Zuercher / EmergiTech*,,1/1/2001,,,Intrado / West*,,,,,
Webster County Dispatch,Dixon,Webster,KY,,,,,42409-0300,1,July 1- June 30,,Dispatch Center (Stand Alone),0,Dispatch,0,8,  2.00 ,0,CentralSquare / TriTech / Zuercher / EmergiTech*,,1/1/2008,,,Does not use*,,,,,
Carter County 911 Center,Grayson,Carter,KY,,,,,41143-1088,1,July 1- June 30,,Dispatch Center (Stand Alone),0,Dispatch,0,13,  2.00 ,0,"CIS - Computer Information Systems, Inc.",,1/1/2012,,,Does not use*,,,,,
Adair County 911 Center,Columbia,Adair,KY,,,,,42728-1424,1,July 1- June 30,,Dispatch Center (Stand Alone),0,Dispatch,0,14,  2.00 ,0,GeoConnect,,7/1/2015,,,Solacom*,1/1/2016,,,,
Allen County 911 Center,Scottsville,Allen,KY,,,,,42164-1261,1,July 1- June 30,,Dispatch Center (Stand Alone),0,Dispatch,0,8,  2.00 ,0,GeoConnect,,4/1/2014,,,Solacom*,1/1/2015,1/1/2020,,,
Bath County 911 Center,Owingsville,Bath,KY,,,,,40360-2205,1,July 1- June 30,,Dispatch Center (Stand Alone),0,Dispatch,0,10,  2.00 ,0,GeoConnect,,1/1/2016,,,Solacom*,11/27/2018,,,,
Bell County 911 Center,Pineville,Bell,KY,,,,,40977-0448,1,July 1- June 30,,Dispatch Center (Stand Alone),0,Dispatch,0,7,  2.00 ,0,GeoConnect,,8/1/2018,,,Intrado / West*,,,,,
Butler County 911 Center,Morgantown,Butler,KY,,,,,42261-0485,1,July 1- June 30,,Dispatch Center (Stand Alone),0,Dispatch,0,4,  2.00 ,0,GeoConnect,,1/1/2009,,,Zetron*,,,,,
Carlisle County 911 Center,Bardwell,Carlisle,KY,,,,,42023-8483,1,July 1- June 30,,Dispatch Center (Stand Alone),0,Dispatch,0,7,  2.00 ,0,GeoConnect,,1/1/2014,,,Solacom,,,,,
Casey County 911 Center,Liberty,Casey,KY,,,,,42539,1,July 1- June 30,,Dispatch Center (Stand Alone),0,Dispatch,0,5,  2.00 ,0,GeoConnect,,3/1/2015,,,Does not use*,,,,,
Edmonson County 911 Center,Brownsville,Edmonson,KY,,,,,42210-0118,1,July 1- June 30,,Dispatch Center (Stand Alone),0,Dispatch,0,4,  2.00 ,0,GeoConnect,,1/1/2017,,,Solacom,,,,,
Hancock County 911 Center,Hawesville,Hancock,KY,,,,,42348-,1,July 1- June 30,,Dispatch Center (Stand Alone),0,Dispatch,0,5,  2.00 ,0,GeoConnect,,9/1/2012,,,Intrado / West*,,,,,
Magoffin County 911 Center,Salyersville,Magoffin,KY,,,,,41465-0430,1,July 1- June 30,,Dispatch Center (Stand Alone),0,Dispatch,0,6,  2.00 ,0,GeoConnect,,1/1/2006,,,Indigital,1/1/2015,,,,
McCreary County 911 Center,Whitley City,McCreary,KY,,,,,42631-6043,1,July 1- June 30,,Dispatch Center (Stand Alone),0,Dispatch,0,8,  2.00 ,0,GeoConnect,,9/1/2015,,,Motorola Solutions / Vesta*,9/1/2015,,,,
Menifee County 911 Center,Frenchburg,Menifee,KY,,,,,40322,1,July 1- June 30,,Dispatch Center (Stand Alone),0,Dispatch,0,7,  2.00 ,0,GeoConnect,,1/1/2011,,,GeoConnect,,,,,
Metcalfe County 911 Center,Edmonton,Metcalfe,KY,,,,,42129,1,July 1- June 30,,Dispatch Center (Stand Alone),0,Dispatch,0,9,  2.00 ,0,GeoConnect,,1/1/2018,,,,,,,,
Monroe County 911 Center,Tompkinsville,Monroe,KY,,,,,42167-1808,1,July 1- June 30,,Dispatch Center (Stand Alone),0,Dispatch,0,4,  2.00 ,0,GeoConnect,,6/1/2013,,,Zetron*,,,,,
Russell County 911 Center,Russell Springs,Russell,KY,,,,,42642-1708,1,July 1- June 30,,Dispatch Center (Stand Alone),0,Dispatch,0,5,  2.00 ,0,GeoConnect,,1/1/2017,,,Intrado / West*,1/1/2016,,,,
Lewis County 911 Center,Portsmouth,Scioto,KY,,,,,45662-4807,1,July 1- June 30,,Dispatch Center (Stand Alone),0,Dispatch,0,8,  2.00 ,0,GeoConnect,,12/1/2017,,,Solacom*,1/1/2017,,,,
Trigg County Dispatch,Cadiz,Trigg,KY,,,,,42211-6007,1,July 1- June 30,,Dispatch Center (Stand Alone),0,Dispatch,0,7,  2.00 ,0,GeoConnect,,5/1/2013,,,Motorola Solutions / Vesta*,,,,,
Wayne County 911 Countymunications Center,Monticello,Wayne,KY,,,,,42633,1,July 1- June 30,,Dispatch Center (Stand Alone),0,Dispatch,0,12,  2.00 ,0,GeoConnect,,4/1/2015,,,Motorola Solutions / Vesta*,,,,,
Jackson County 911 Center,McKee,Jackson,KY,,,,,40447-0682,1,July 1- June 30,,Dispatch Center (Stand Alone),0,Dispatch,0,8,  2.00 ,0,In House Custom System*,,,,,Motorola Solutions / Vesta,1/1/2017,,,,
Marion 911 Center,Marion,Crittenden,KY,,,,,42064-1410,1,July 1- June 30,,Dispatch Center (Stand Alone),0,Dispatch,0,4,  2.00 ,0,Other,,,,,Intrado / West*,,,,,
Bracken County 911 Center,Brooksville,Bracken,KY,,,,,41004,1,July 1- June 30,,Dispatch Center (Stand Alone),0,Dispatch,0,7,  2.00 ,0,PTS Solutions,,1/1/2013,,,Solacom*,1/1/2016,,,,
Fayette County Public Schools,Lexington,Fayette,KY,,,,,40502,1,July 1- June 30,,"Police, K-12",0,Law,59,60,  1.00 ,0,CAPERS,,1/1/2010,Does not use*,,Does not use*,,,,,Does not use*
Metrosafe EMS,Louisville,Jefferson,KY,,,,,40202,1,July 1- June 30,,Dispatch Center (Stand Alone),,Dispatch,,280,  75.00 ,,Hexagon / Intergraph*,,,,,Motorola Solutions / Vesta*,,,,,
Owensboro-Daviess County 911,Owensboro,Daviess,KY,,,,,,1,July 1- June 30,,Dispatch Center (Stand Alone),,Dispatch,,,  16.00 ,,Caliber Public Safety / InterAct*,,,Caliber Public Safety / InterAct*,,Solacom*,,,,,
Madisonville/Hopkins County Central Dispatch,Madisonville,Hopkins,KY,,,,,,1,July 1- June 30,,Dispatch Center (Stand Alone),,Dispatch,,13,  6.00 ,,"CIS - Computer Information Systems, Inc.",,1/1/2005,,,Intrado / West*,,,,,
Jessamine County 911,Nicholasville,Jessamine,KY,,,,,,1,July 1- June 30,,Dispatch Center (Stand Alone),,Dispatch,,10,  5.00 ,,Caliber Public Safety / InterAct*,,1/1/2003,,,Solacom,,,,,
Shelby County Emergency 911 Communications Center,Shelbyville,Shelby,KY,,,,,,1,July 1- June 30,,Dispatch Center (Stand Alone),,Dispatch,,16,  3.00 ,,Caliber Public Safety / InterAct*,,1/1/2013,,,Motorola Solutions / Vesta*,,,,,
